time,period,ips,ops,eps,capacity,actions,ipa,opa,epa,mininal
08:45,4,2,1,1,2,(0 1 1;1 0 1),0,1,1,"$38,19"
08:45,4,2,2,0,2,(0 2 0;1 1 0;2 0 0),0,2,0,"$49,11"
08:45,4,2,2,1,2,(0 1 1;1 0 1),0,1,1,"$51,83"
08:45,4,2,3,0,2,(0 2 0;1 1 0;2 0 0),0,2,0,"$62,75"
08:45,4,2,3,1,2,(0 1 1;1 0 1),0,1,1,"$68,20"
08:45,4,2,4,0,2,(0 2 0;1 1 0;2 0 0),0,2,0,"$79,12"
08:45,4,2,4,1,2,(0 1 1;1 0 1),0,1,1,"$84,57"
08:45,4,2,5,0,2,(0 2 0;1 1 0;2 0 0),0,2,0,"$95,48"
08:45,4,2,5,1,2,(0 1 1;1 0 1),0,1,1,"$103,67"
08:45,4,2,6,0,2,(0 2 0;1 1 0;2 0 0),0,2,0,"$114,58"
08:45,4,2,6,1,2,(0 1 1;1 0 1),0,1,1,"$122,77"
08:45,4,3,0,0,2,(2 0 0),2,0,0,"$35,47"
08:45,4,3,0,1,2,(1 0 1),1,0,1,"$38,19"
08:45,4,3,1,0,2,(1 1 0;2 0 0),1,1,0,"$49,11"
08:45,4,3,1,1,2,(0 1 1;1 0 1),0,1,1,"$51,83"
08:45,4,3,2,0,2,(0 2 0;1 1 0;2 0 0),0,2,0,"$62,75"
08:45,4,3,2,1,2,(0 1 1;1 0 1),0,1,1,"$68,20"
08:45,4,3,3,0,2,(0 2 0;1 1 0;2 0 0),0,2,0,"$79,12"
08:45,4,3,3,1,2,(0 1 1;1 0 1),0,1,1,"$84,57"
08:45,4,3,4,0,2,(0 2 0;1 1 0;2 0 0),0,2,0,"$95,48"
08:45,4,3,4,1,2,(0 1 1;1 0 1),0,1,1,"$103,67"
08:45,4,3,5,0,2,(0 2 0;1 1 0;2 0 0),0,2,0,"$114,58"
08:45,4,3,5,1,2,(0 1 1;1 0 1),0,1,1,"$122,77"
08:45,4,4,0,0,2,(2 0 0),2,0,0,"$49,11"
08:45,4,4,0,1,2,(1 0 1),1,0,1,"$51,83"
08:45,4,4,1,0,2,(1 1 0;2 0 0),1,1,0,"$62,75"
08:45,4,4,1,1,2,(0 1 1;1 0 1),0,1,1,"$68,20"
08:45,4,4,2,0,2,(0 2 0;1 1 0;2 0 0),0,2,0,"$79,12"
08:45,4,4,2,1,2,(0 1 1;1 0 1),0,1,1,"$84,57"
08:45,4,4,3,0,2,(0 2 0;1 1 0;2 0 0),0,2,0,"$95,48"
08:45,4,4,3,1,2,(0 1 1;1 0 1),0,1,1,"$103,67"
08:45,4,4,4,0,2,(0 2 0;1 1 0;2 0 0),0,2,0,"$114,58"
08:45,4,4,4,1,2,(0 1 1;1 0 1),0,1,1,"$122,77"
09:00,5,0,0,0,3,(0 0 0),0,0,0,"$0,00"
09:00,5,0,0,1,3,(0 0 1),0,0,1,"$0,00"
09:00,5,0,1,0,3,(0 1 0),0,1,0,"$13,64"
09:00,5,0,1,1,3,(0 1 1),0,1,1,"$13,64"
09:00,5,0,2,0,3,(0 2 0),0,2,0,"$27,28"
09:00,5,0,2,1,3,(0 2 1),0,2,1,"$27,28"
09:00,5,0,3,0,3,(0 3 0),0,3,0,"$40,92"
09:00,5,0,3,1,3,(0 2 1),0,2,1,"$43,65"
09:00,5,0,4,0,3,(0 3 0),0,3,0,"$57,29"
09:00,5,0,4,1,3,(0 2 1),0,2,1,"$60,02"
09:00,5,0,5,0,3,(0 3 0),0,3,0,"$73,66"
09:00,5,0,5,1,3,(0 2 1),0,2,1,"$79,12"
09:00,5,0,6,0,3,(0 3 0),0,3,0,"$92,76"
09:00,5,0,6,1,3,(0 2 1),0,2,1,"$98,21"
09:00,5,0,7,0,3,(0 3 0),0,3,0,"$111,85"
09:00,5,0,7,1,3,(0 2 1),0,2,1,"$117,31"
09:00,5,0,8,0,3,(0 3 0),0,3,0,"$130,95"
09:00,5,0,8,1,3,(0 2 1),0,2,1,"$139,13"
09:00,5,0,9,0,3,(0 3 0),0,3,0,"$152,77"
09:00,5,0,9,1,3,(0 2 1),0,2,1,"$160,96"
09:00,5,0,10,0,3,(0 3 0),0,3,0,"$174,60"
09:00,5,0,10,1,3,(0 2 1),0,2,1,"$185,51"
09:00,5,1,0,0,3,(1 0 0),1,0,0,"$13,64"
09:00,5,1,0,1,3,(1 0 1),1,0,1,"$13,64"
09:00,5,1,1,0,3,(1 1 0),1,1,0,"$27,28"
09:00,5,1,1,1,3,(1 1 1),1,1,1,"$27,28"
09:00,5,1,2,0,3,(1 2 0),1,2,0,"$40,92"
09:00,5,1,2,1,3,(0 2 1;1 1 1),0,2,1,"$43,65"
09:00,5,1,3,0,3,(0 3 0;1 2 0),0,3,0,"$57,29"
09:00,5,1,3,1,3,(0 2 1;1 1 1),0,2,1,"$60,02"
09:00,5,1,4,0,3,(0 3 0;1 2 0),0,3,0,"$73,66"
09:00,5,1,4,1,3,(0 2 1;1 1 1),0,2,1,"$79,12"
09:00,5,1,5,0,3,(0 3 0;1 2 0),0,3,0,"$92,76"
09:00,5,1,5,1,3,(0 2 1;1 1 1),0,2,1,"$98,21"
09:00,5,1,6,0,3,(0 3 0;1 2 0),0,3,0,"$111,85"
09:00,5,1,6,1,3,(0 2 1;1 1 1),0,2,1,"$117,31"
09:00,5,1,7,0,3,(0 3 0;1 2 0),0,3,0,"$130,95"
09:00,5,1,7,1,3,(0 2 1;1 1 1),0,2,1,"$139,13"
09:00,5,1,8,0,3,(0 3 0;1 2 0),0,3,0,"$152,77"
09:00,5,1,8,1,3,(0 2 1;1 1 1),0,2,1,"$160,96"
09:00,5,1,9,0,3,(0 3 0;1 2 0),0,3,0,"$174,60"
09:00,5,1,9,1,3,(0 2 1;1 1 1),0,2,1,"$185,51"
09:00,5,2,0,0,3,(2 0 0),2,0,0,"$27,28"
09:00,5,2,0,1,3,(2 0 1),2,0,1,"$27,28"
